office_name,places_found,places_count
Stadt Stadthagen,stadthagen,1
Nürnberg für Wiedergutmachung und verwaltete Vermögen,nürnberg,1
Entschädigungsbehörde: Augsburg,augsburg,1
Regierungsbezirk Potsdam (Westf.),potsdam,1
Frankfurt a. Main,frankfurt,1
BFH/Bonn,bonn,1
Bundes Ru. Min. Bonn,bonn,1
Königreich Großherzogtum Baden,königreich,1
Regierung Rendsburg (Westf.),rendsburg,1
"Elsa Pappenheim, Walter Joachimsthal u.a.","joachimsthal, pappenheim",2
Regierungsamt Ansbach (Stadt.),ansbach,1
Stadt. Amt. Dresden,dresden,1
"United Restitution Office, Frankfurt (Main), Grünburgweg 119",frankfurt,1
Kreissozialamt Cloppenburg,cloppenburg,1
Regierung Amberg (Waff.),amberg,1
Kreissozialhilfsausschub Cloppenburg,cloppenburg,1
Regionalamt Fürstenfeldbruck,fürstenfeldbruck,1
Amt für Wiedergutmachung in Recklinghausen,recklinghausen,1
Staatsanwalt LG Frankfurt,frankfurt,1
Der Regierungspräsident - Dez. für Wiedergutmachung - in Dortmund,dortmund,1
Regierungsbezirk Jena (Weimar),"jena, weimar",2
Stadt Leipzig,leipzig,1
KSHA Bückeburg,bückeburg,1
Oberfinanzdirektion: Bünde,bünde,1
Regierungspräsidium Ansbach (Welf.),ansbach,1
Regierung Bamberg (Wf.),bamberg,1
Kreissozialamt Rottenburg/Hann,rottenburg,1
LG Nürnberg,nürnberg,1
Regierung Finanzabteilung (Welt.),welt,1
Regierungsbezirkscami für Wiedergutmachung und verwalteto Vermögen Koblentz,koblentz,1
"Bundesfinanzdirektion West, Würzburg",würzburg,1
"United Restitution Office, Frankfurt/M., Grunenburgweg 119",frankfurt,1
Oberfinanzdirektion: Eichstätt,eichstätt,1
Kreisverwaltung Büren/Westf. - Amt für Wiedergutmachung,büren,1
St. Frankfurt Ausgl. Amt,frankfurt,1
Regierung Aensberg (Wehr.),wehr,1
Stadt Frankfurt,frankfurt,1
Aegierung Paderborn (Meßl.),paderborn,1
Regierung Ansbach (Präf.),ansbach,1
Regierung Ansbach (Melf.),ansbach,1
Bundesministerium der Finanzen Bonn,bonn,1
"Regierungsbezirkamt für Wiedergutmachung und verwaltete Vermögen, Nürnberg a. d. Weinstraße",nürnberg,1
Regierungsbezirksamt für Wiedergutmachung und Verwaltung a.d. Weinstr. Nürnberg,nürnberg,1
Kreissozialhilfeauschuss Blankenburg (Brit. Zone),blankenburg,1
Regierungsbezirksamt für Wiedergutmachung und verwaltete Vermögen Nürnberg a. d. Weinstraße,nürnberg,1
Bundes FinanzMinisterium Bonn,bonn,1
Regierung Brünn (m.w.),brünn,1
Regierungsamt Brünn (MfV),brünn,1
"Bundesministerium der Flüchtlinge, Bonn, Rheindorfersstr. 116",bonn,1
Gedächtnisstätte Sachsenhausen,sachsenhausen,1
Reg.-Präsidium / Amtsgericht Bückeburg,bückeburg,1
Kreissozialhilfeauschuss Stadt Hameln,hameln,1
"United Restitution Office, Frankfurt/Main, Grünburgweg 119",frankfurt,1
Amt für Wiedergutmachung Duisburg,duisburg,1
Kreissozialamt Osterholz,osterholz,1
"Bayreuth, Ansbach (West.)","ansbach, bayreuth",2
"Erfurt, Jenaer Str. 37",erfurt,1
Versorgungsamt Dortmund,dortmund,1
LJV. Ludwigsburg,ludwigsburg,1
United Restitution Office in Frankfurt am Main,frankfurt,1
Regierungsbezirksamt für Wiedergutmachung und verwaltetes Vermögen Neudietendorf a. d. Weinstraße,neudietendorf,1
Seeburg,seeburg,1
Kreissonderhilfssausschuss der Stadt Watenstedt Salzgitter,salzgitter,1
Königreich Preußens,königreich,1
Regierung Ansbach (Mrz.),ansbach,1
Regierung Augsburg (Welf.),augsburg,1
KSHA Nienburg/Weser,nienburg,1
Regierung Ansbach (m. W.),ansbach,1
Regierung Rheinberg (WcAF.),rheinberg,1
KSHA Wat. Salzgitter,salzgitter,1
Regierungsbezirksamt für Wiedergutmachung und verwaltete Vermögen Nürnberg a.d. Weinstr.,nürnberg,1
Regierungsbezirk Bamberg (m. f.),bamberg,1
Regierungsbezirksamt für Wiedergutmachung und verwaltete Vermögensnachlässe a. d. Weinsberg,weinsberg,1
Kreissozialhilfsausschuss der Stadt Salzburg,salzburg,1
Kreissozialhilfsausschuss Bersenbrück,bersenbrück,1
Regierung Ansbach (Betr.),ansbach,1
"United Restitution Office, Frankfurt am Main, Grünburgweg 119",frankfurt,1
Regierung Bamberg (Waff.),bamberg,1
Staatsanwaltschaft Hamm,hamm,1
Regierung Ansbach (10 Eff.),ansbach,1
"Doppelmeier, Bundes Fin. Min. Bonn",bonn,1
Regierung Bamberg (Meß.),bamberg,1
Regierung Pommersfelden,pommersfelden,1
Regierung Arnswalde (Welt.),welt,1
Kreissozialhilfsausschuss des Landkreises Groß-Schauenburg,schauenburg,1
Bundes Finanz Ministerium Bonn,bonn,1
Bamberg Bezirksamt für Wiedergutmachung,bamberg,1
Amt für Wiedergutmachung Hamm (Westf.),hamm,1
Regierungsbezirk für Wiedergutmachung und verwaltete Vermögen Nürnberg und Würzburg,"nürnberg, würzburg",2
Regierung Rostock (Wff.),rostock,1
Regierung Frankfurt (2.11.),frankfurt,1
Regierungsbezirksamt für Wiedergutmachung und verwaltete Vermögen Nürnberg,nürnberg,1
Regierungsbezirkskammer für Wiedergutmachung und verwaltete Vermögen Nürnberg a. d. Weinstr.,nürnberg,1
"Amt für Wiedergutmachung, Landkreis Iserlohn",iserlohn,1
"Regionalbeirat für Wiedergutmachung und verwaltete Vermögen, Nürnberg a. d. Weinstr.",nürnberg,1
Regierung Bamberg (Weltf.),bamberg,1
"Landsberg/Lech, DP-Lager",landsberg,1
Stadtverwaltung Wuppertal,wuppertal,1
Bundesministerium - Referat VB4 - Postfach 1308 53003 Bonn,bonn,1
Regierung Prötzel (SK),prötzel,1
An Kassierer Amtsberg 9.3.66 Weiler o. Gl.,"amtsberg, weiler",2
Regierung Bamberg (Bef.),bamberg,1
Amt für Wiedergutmachung des Landes Thüringen-Platz in reich,reich,1
Kreissozialamt Verden,verden,1
Kreis Linsengericht,linsengericht,1
Regierung Arnaberg (Welt.),welt,1
Kreissonderhilfsausschuss Hamm-Land,hamm,1
Beeskow,beeskow,1
Regierung Ansbach (Melfi),ansbach,1
Staatsanwaltschaft Frankfurt,frankfurt,1
Reg.-Präsident / Präsident des Verw.-Bezirks Sinsheim,sinsheim,1
Regierung Amberg (Wf.),amberg,1
Kreissozialhilfsausschuss Springe,springe,1
Staatssanw. Dortmund,dortmund,1
Regierung Ansbach (Waff.),ansbach,1
Kreissozialamt Dortmund,dortmund,1
"Regierungsbezirk Wiedergutmachung und verwaltete Vermögen, Nürnberg",nürnberg,1
Regierungsamt Fürstenberg (Württ.),fürstenberg,1
Regierung Ansbach (Mnf.),ansbach,1
Der Oberkreisdirektor – Amt für Wiedergutmachung in Paderborn,paderborn,1
Regierung Ansbach (m.E.),ansbach,1
Oberfinanzdirektion: Würzburg,würzburg,1
Stolberg,stolberg,1
gob. Goldberg,goldberg,1
"Oberfinanzdirektion: Erfurt, Jena St. 37","erfurt, jena",2
"Landesheiratstelle für die Wiedergutmachung, Schweinfurt",schweinfurt,1
Regierung Aensberg (Welt.),welt,1
"DP-Camp, Feldafing Krs. Starnberg","feldafing, starnberg",2
Regierungsbezirk Hamm,hamm,1
Regierung Frankfurt (Würt.),frankfurt,1
Reparatur Amtsberg (Wupp.),amtsberg,1
Regierung Flensburg (Westf.),flensburg,1
Wattenscheid-Salzgitter,salzgitter,1
Regierung Ansbach (B.M.),ansbach,1
"United Restitution Office, Frankfurt/M., Greeneburgweg 119",frankfurt,1
Bundes Fin. Min. Bonn K8In,bonn,1
Wuppertal-Elberfeld,wuppertal,1
Regierungsbezirksamt Wiedergutmachung und verwaltete Vermögen Neusäß und Weinsberg,"neusäß, weinsberg",2
"Bundes-Finanz-Ministerium, Bonn",bonn,1
Kreisonderhelfsausschub Hamm-Stadt,hamm,1
Amt für Wiedergutmachung in Essen,essen,1
Amt für Wiedergutmachung der Stadt Essen,essen,1
Hagen,hagen,1
Regierungsbezirks-Amt für Wiedergutmachung und kontrollierte Vermögensverwaltung Bad Kreuznach,bad kreuznach,1
Karl-Theodor,karl,1
Kreisonderhilfsausschuss Wilhelmshaven,wilhelmshaven,1
Kreissozialhilfsausschuss Stadt Hameln,hameln,1
Burgdorf (Hann.),burgdorf,1
"United Restitution-Office, Frankfurt/Main",frankfurt,1
Regierungsamt Arnswald (Meißen),meißen,1
Regierungspräsidium Ansbach,ansbach,1
"Regierungsbezirk Nürnberg für Wiedergutmachung und verwaistes Vermögen, Nürnberg a. d. Weinstrasse",nürnberg,1
Kreissonderhilfsausschuss Hameln-Pyrmont,hameln,1
Kreissozialhilfsausschuss Alfeld/Leine,alfeld,1
Kreissozialhilfsausschuss Landkreis Grafschaft Hoy,grafschaft,1
Amt für Wiedergutmachung in Waldbröl / Rhld.,waldbröl,1
Kreissonderhilfesausschuss Duderstadt,duderstadt,1
Landkreis Iserlohn Amt für Wiedergutmachung,iserlohn,1
Krefeld,krefeld,1
Verden,verden,1
Regierung Frankfurt (MFF),frankfurt,1
Entschädigungsbehörde für Wiedergutmachung und verwaltete Vermögen Nürnberg a.d. Weinstr.,nürnberg,1
Kreissozialhilfsausschuss Nürnberg,nürnberg,1
Kreissonderhilfsausschuss Fallingbostel,fallingbostel,1
KSHALandkreis Osterholz,osterholz,1
Kreissozialamt Hoya,hoya,1
Kreissonderhilfsschul Watenstedt-Salzgitter,salzgitter,1
Kreissonderhilfsausschuss Wilhelmshaven,wilhelmshaven,1
Kreisverwaltung -Amt für Wiedergutmachung- Höxter/Weser-,höxter,1
Kreissozialhilfsausschuss Winsen-Luhe,winsen,1
Landkreis Grafschaft Gooya,grafschaft,1
Landkreis Grafschaft Lippe,grafschaft,1
Kreissozialhilfsausschuss Uelzen,uelzen,1
KSHA Fallingbostel,fallingbostel,1
Husyl.Amt Frankfurt,frankfurt,1
Hauptzuständige Stelle,stelle,1
Regierung Frankfurt (R.B.),frankfurt,1
Stadt HameLN,hameln,1
"Amt für Wiedergutmachung, Regierung Ansbach (Würt.)",ansbach,1
Kreissozialamt Fürth,fürth,1
Regierungsbezirksamt für Wiedergutmachung und verwaltico Vermögen Koblentz,koblentz,1
Kreissonderhilfsausschuss Hamm,hamm,1
Kreissozialhilfsausschuss Lingen,lingen,1
Regierung Ansbach (Mfll.),ansbach,1
Amt für Wiedergutmachung b. Landkreis Höxter,höxter,1
Amt für Wiedergutmachung des Landes Thüringen in Erfurt,erfurt,1
Regierung Frankfurt (Hess.),frankfurt,1
Kreisverwaltung -Amt für Wiedergutmachung- Höxter/Weser,höxter,1
Regierungsbezirk Frankfurt (Main),frankfurt,1
Regierungsbezirk Königsberg (Weiß.),königsberg,1
Regierung Arnsherg (Welt.),welt,1
Kreissozialamt Blankenburg (Brit. Zone) d.Landkreises Braunlage,"blankenburg, braunlage",2
Regierung Arnberg (Welt.),welt,1
"Der Regierungspräsidium, Düren",düren,1
Roth,roth,1
Kreissozialamt Burgdorf (Hann.),burgdorf,1
Staatsschule Frankfurt,frankfurt,1
Nordhausen - Westfalen,nordhausen,1
Regierung Rendsburg (Weffels),rendsburg,1
Regierungspräsidium Pirmasens,pirmasens,1
Nürnberg a. d. Weinstr.,nürnberg,1
Nordhausen - Wiedergutmachung,nordhausen,1
Regierung Pansberg (Würzburg),würzburg,1
Regierung Ansbach (Bef.),ansbach,1
Kreissonderhilfsschule Watenstedt-Salzgitter,salzgitter,1
Regierungsamt Arnswalde (Welt.),welt,1
"United Restitution Office, Frankfurt am Main, Grüneburgweg 119",frankfurt,1
Regierung Hensberg (Welt.),welt,1
Regierungspräsidium Fürth (Wüff.),fürth,1
Kreissozialhilfe Salzgitter,salzgitter,1
"United 'estitution Office Frankfurt/Main, Gruneburgweg 119",frankfurt,1
Regierungspräsidium Prensbereich (Wehr.),wehr,1
Kreissonderhilfsausschuss Rottenburg/H.,rottenburg,1
Der Regierungspräsident - Doz. für Wiedergutmachung - in Dortmund,dortmund,1
Kreissozialhilfsausschuss des Landkreises Groß-Schönebeck,schönebeck,1
Kreissonderhilfesausschuss Springe,springe,1
Kreissonderhilfsausschuss Winsen / Luhe,winsen,1
Amt für Wiedergutmachung des Landes Rhein und Pfalz in Erlangen,erlangen,1
Augsburg (Weff.),augsburg,1
Rechtsanwälte Pätz,pätz,1
"Reparierungsbehörde für Wiedergutmachung und verwaltete Vermögen, Nürnberg a.d. Weser",nürnberg,1
Regierungspräsidium Fürth,fürth,1
KSHA Rottenburg/Hann.,rottenburg,1
"United Restitution Office, Frankfurt (M)",frankfurt,1
Osterholz-Scharmbeck,osterholz,1
Regierungspräsidium (Wehr.),wehr,1
Höchst,höchst,1
Kreissozialhilfsausschub Soltau,soltau,1
"Stadt Bonn, Amt für Wiedergutmachung",bonn,1
Landratsamt Bad Aibling,bad aibling,1
Kreissozialamt Schorndorf,schorndorf,1
"Stadt Bonn, Amt für Wiedergutmachung (43)",bonn,1
United Restitution Office Frankfurt/M. Grünburgweg 119,frankfurt,1
Regierungsbezirksamt für Wiedergutmachung und Verwaltung Nürnberg,nürnberg,1
Regierung Ansbach (Deftf.),ansbach,1
Kreissonderhilfsausschuss Nienburg-Weser,nienburg,1
Kreissozialhilfsausschuss Nordheim,nordheim,1
"Regierungsbezirk Nürnberg, Br. Wiedergutmachung und verwaltete Vermögen, Nürnberg, a.d. Weinstraße",nürnberg,1
Reg. Amts. Brünn,brünn,1
Regierung Arneberg (Wehr.),wehr,1
Regierungspräsidium (Würzburg),würzburg,1
Regierung Pirmasens,pirmasens,1
Uelzen,uelzen,1
Regierungsbezirk Fürth (Weff.),fürth,1
Augsburg (M.Ost),augsburg,1
Regierungsamt Mosbach (20.07.19),mosbach,1
LG Weiden,weiden,1
Regierung Prenzlau (R.O.D.),prenzlau,1
Kreissozialamt Ulm,ulm,1
Amtsgericht Dortmund (Möll),dortmund,1
Regierungspräsidium Prenzlau,prenzlau,1
Regierungsbezirk Borna (MOELL),borna,1
Regierungsbezirk (Weimar),weimar,1
Restitutionsamt (Wied.),wied,1
United Restitution Office Frankfurt/M.,frankfurt,1
Regierung Hagen (Westf.),hagen,1
Regierung Frankfurt (Welt.),"frankfurt, welt",2
Regierungspräsidium Flensburg,flensburg,1
Der Regierungspräsident - Amt für Wiedergutmachung in Herford,herford,1
Kreissozialhilfsausschuss Landkreis Grafschaft Broya,grafschaft,1
Regierungspräsidium Frankfurt (Oder),frankfurt,1
KSHA Bad Gandersheim,bad gandersheim,1
Regierungsamt Amberg (Westf.),amberg,1
"Regierungsbezirksamt für Wiedergutmachung verwaltete Vermögensnachlässe, Nürnberg a. d. Weinstr.",nürnberg,1
Ansbach (Def.),ansbach,1
"United Restitution Office, Frankfurt (M), Grünburgweg 119",frankfurt,1
"Landesbeirat für die Wiedergutmachung, Schweinfurt",schweinfurt,1
Kreissonderhilfsausschuss Watenstedt-Salzgitter,salzgitter,1
"Regierungsbezirk Nürnberg für Wiedergutmachung und verwaltete Vermögensnachlässe, Nürnberg a.d. Weinstraße",nürnberg,1
Regierung Henneberg,henneberg,1
Dannenberg/Elbe,"dannenberg, elbe",2
Kreissozialhilfsschübe Hameln-Pyrmont,hameln,1
Regierung Frankfurt (Wchf.),frankfurt,1
"United Restitution Office, Frankfurt(M), Gruneburgweg 119",frankfurt,1
KSHA Höxter,höxter,1
Möllendorf,möllendorf,1
Regierungsbezirksoffice für Wiedergutmachung und verwaltete Vermögen Nürnberg a. d. Weinstr.,nürnberg,1
IG Frankfurt,frankfurt,1
"Bundesministerium der Finanzen, Bonn, Rheindorfstraße 116",bonn,1
Hauptzuständige Stelle für Wiedergutmachung und verwaltete Vermögen,stelle,1
Neu Isenburg,isenburg,1
Staatsanwalt Frankfurt,frankfurt,1
Kreissonderhilfsausschuf Hameln-Pyrmont,hameln,1
und verwaltete Vermögen Neuried a.d. Weinstr.,neuried,1
Landkreisverwaltung - Amt f. Wiedergutmachung - Höxter/Weser,höxter,1
Regierung Ansbach (Bay.),ansbach,1
Regierung Rendsburg (Meckl.),rendsburg,1
"Amt für Wiedergutmachung, Stadt Essen in Essen",essen,1
Regierungsamt Ansbach (MfV),ansbach,1
Kreissozialamt des Landkreises Gera,gera,1
Bezirksamt für Wiedergutmachung Mönchengladbach,mönchengladbach,1
Der Regierungspräsident Nürnberg,nürnberg,1
Kreisverwaltung -Amt f. Wiedergutmachung-Höxter/Weser,höxter,1
Kreissozialhilfsschübe Cuxhaven,cuxhaven,1
Kreis Linden,linden,1
Oberfinanzdirektion: Nürnberg,nürnberg,1
Schweinfurt IRO Resettlement Office,schweinfurt,1
Regierung Ansbach (Moff.),ansbach,1
"Für Wien und verwaltete Vermögen, Nördlingen a.d. Weinstr.",nördlingen,1
Reg.-Präsident / Präsident des Verw.-Bezirks Stendal,stendal,1
Regierung Hagen (West),hagen,1
Aegypten (Welt),welt,1
Kreissozialamt Nürnberg,nürnberg,1
Regierung Rendsburg (Welf.),rendsburg,1
Altenkirchen 'Westf.,altenkirchen,1
Mannheim,mannheim,1
Kreissonderhilfsausschuss Cuxhaven,cuxhaven,1
Rostock Bundesvermögensabteilung,rostock,1
Regionalverwaltungsamt für Wiedergutmachung und verwaltete Vermögen Nürnberg a. d. Weinstraße,nürnberg,1
Regierung Frankfurt (Mief.),frankfurt,1
Regierung Frankfurt (RZ),frankfurt,1
Kreissonderhilfsausschüsse Wittmund,wittmund,1
"RA United Restitution Office, Frankfurt/Main",frankfurt,1
Kreissozialhilfsausschuss Dannenberg,dannenberg,1
Amt für Wiedergutmachung des Landes Sachsen-Anhalt in Halle (Saale),"halle, sachsen",2
LVA Speyer,speyer,1
Amt für Wiedergutmachung - in Essen nach hier übernommen,essen,1
Amt für Wiedergutmachung des Landes Thüringen/Pfalz in Erfurt Hauptabteilung II,erfurt,1
Regierung Bamberg (Welt.),"bamberg, welt",2
Amt für Wiedergutmachung in Hamm/Westfalen,hamm,1
Regierungsamt Königsberg (West),königsberg,1
Regierung Brünn (BdS.),brünn,1
Regierungsbezirkskammer für Wiedergutmachung und verwaltete Vermögen Mannheim,mannheim,1
Regierungsbezirkskammer für Wiedergutmachung und verwaiste Vermögen Nürnberg und Weimar,"nürnberg, weimar",2
Regierungsbezirk Königsberg und verwaltete Vermögen,königsberg,1
Hof.,hof,1
"United Restitution Office, Frankfurt (Main), Grineburgweg 119",frankfurt,1
Kreisonderhilfsausschuss Dannenberg,dannenberg,1
Bezirksamt für Wiedergutmachung Verenig Koblentz,koblentz,1
Reparierungsstelle Bochum,bochum,1
SFH Magdeburg,magdeburg,1
Rb. Potsdam,potsdam,1
Regierung Rheinberg (Weltf.),rheinberg,1
Regierungsbezirkskommission für Wiedergutmachung und verwaltete Vermögens Neusäß a.d. Weser,neusäß,1
Regierungsbezirk Augsburg,augsburg,1
"Landesbeirat für die Wiedergutmachung, Schwerin",schwerin,1
Regierung Bamberg (M.I.),bamberg,1
Regierung Frankfurt (Melf.),frankfurt,1
An Bunde deckartei,bunde,1
Philadelphia,philadelphia,1
"Rey Frieda Ruth (geb. Ehrmann) (8.10.33) Kuhlmann Jnge, geb. Ehrmann (14.12.35) Ehrmann Doris Renate (31.3.1937)",rey,1
Regierung Bamberg (Westf.),bamberg,1
Regierungsamt Bamberg (Württ.),bamberg,1
Land.Justizv.Ludwigsburg,ludwigsburg,1
Regierungsamt Ansbach (Württemberg),ansbach,1
"Kreissozialhilfsausschuss des Landkreises Glauchau, Schauburg",glauchau,1
Regierung Prnsberg (Welt.),welt,1
Regierung Bamberg (M.O.),bamberg,1
Regierungsbezirk Bamberg für Wiedergutmachung und verwaltete Vermögensgegenstände,bamberg,1
Regierungsbezirksamt für Wiedergutmachung und verwaltiq Vermögen Koblentz,koblentz,1
Regierung Ansbach (Welf),ansbach,1
"Regierungsbezirkamt für Wiedergutmachung und verwaltete Vermögen, Nürnberg a. d. Weinstr.",nürnberg,1
Regierung Arnswerg (Wehr.),wehr,1
Regierung Ansbach (Wenf.),ansbach,1
Bezirksamt für die Wiedergutmachung in Nürnberg,nürnberg,1
Amt für Wiedergutmachung in Herne i.W.,herne,1
Regierung Arnswald (Weimar),weimar,1
Kreissonderhilfsausschuss Landkreis Grafenau Syke,"grafenau, syke",2
Der Reichsentschädigungspräsident Lübeck,lübeck,1
Bersenbrück,bersenbrück,1
Kreissonderhilfsausschübe Springe,springe,1
Kreis Lichtenau,lichtenau,1
Regierungsbezirksamt für Wiedergutmachung und kontrollierte Vermögen Altenkirchen 'Westerw.,altenkirchen,1
Kreisonderhilfsausschuss Cloppenburg,cloppenburg,1
Kreissozialhilfeauschuss Nordhorn,nordhorn,1
Kreissozialamt Zell,zell,1
Kreissonderhilfsausschuss Burgdorf (Hann.),burgdorf,1
Eros Linau,linau,1
Kreissozialhilfsschübe Nienburg,nienburg,1
Kreissozialamt Görlitz,görlitz,1
Kreissozialhilfsausschuss Landkreis Grafschaft Goya,grafschaft,1
Amtsgericht Jena (Weimar),"jena, weimar",2
Kreissozialamt Auerbach,auerbach,1
Regierung Ansbach (m.Af.),ansbach,1
Kreissonderhilfsausschuss Bersenbrück,bersenbrück,1
Kreissozialamt Jena,jena,1
Kreissozialamt Northeim,northeim,1
Kreissozialhilfesauschuss des Landkreises Burgdorf/Hann.,burgdorf,1
Nürnberg a. d. Weinstraße,nürnberg,1
Amt für Wiedergutmachung Stadt Bochum,bochum,1
Kreissozialhilfsausschuss Fallingbostel,fallingbostel,1
Regierungsbezirk Salzburg für Wiedergutmachung,salzburg,1
Kreisondeserhifsausschuss Wilhelmshaven,wilhelmshaven,1
Kreissonderhilfsausschuss Bremervörde,bremervörde,1
Kreissozialhilfsausschuss Burgdorf Hann.,burgdorf,1
Kreissonderhilfsausschuss Cloppenburg,cloppenburg,1
Deutsches Zentrales Stelle für Opfer der nationalsozialistischen Verfolgung,stelle,1
Aegierung Amberg (Weff.),amberg,1
Kreissozialamt Soltau,soltau,1
Kreissonderhilfsausschuss Jever,jever,1
Kreisaußerhelfsausschuss Watenstedt-Salzgitter,salzgitter,1
Regierungsbezirk für Wiedergutmachung und verwaltete Vermögen Nürnberg a. d. Weinstr.,nürnberg,1
Kreissozialamt - Fürstenfeldbruck,fürstenfeldbruck,1
Kreisonderhilfsausschuss Diepholz,diepholz,1
Regierungspräsidium Prensborg (Wehr.),wehr,1
Kreissonderhilfsausschuss des Landkreises Gera-Schweinfurt,"gera, schweinfurt",2
Reg.-Präsident / Präsident des Verw.-Bezirks Stadthagen,stadthagen,1
Kreissozialhilfsausschuss Diepholz,diepholz,1
Kreissozialamt Landkreis Grafschaft Lippe Syke,"grafschaft, syke",2
Kreissoenderhilfssausschuss der Stadt Salzgitter,salzgitter,1
Kreissozialhilfsschutz Bremervörde,bremervörde,1
Regierungsbezirk-amt für Wiedergutmachung und verwaltete Vermögen Nürnberg a.d. Weinstr.,nürnberg,1
Neuendorf,neuendorf,1
Kreissozialamt Mülheim,mülheim,1
Königstein,königstein,1
Amt für Wiedergutmachung in Wuppertal-Barmen,wuppertal,1
"Der Gerichtspräsident in Dotternhausen, Der Oberkreisdirektor in Herford","dotternhausen, herford",2
Kreissozialhilfsschul d. Landkreises Blankenburg (Brit. Zone) Braunlage,"blankenburg, braunlage",2
KSH Stadt Hameln,hameln,1
Bundes Fin. Min. Bamberg,bamberg,1
Regionalverwaltungsbehörde für Wiedergutmachung und verwaltete Nachlässe Nordalb und Waldeck,waldeck,1
Kreissonderhilfsausschuss der Stadt Watenstedt Salzgitter,salzgitter,1
Regierungsbezirk Frankfurt,frankfurt,1
KSHa Watenstedt-Salzgitter,salzgitter,1
KSHA Rottenburg/H.,rottenburg,1
Regierungsbezirksamt für Wiedergutmachung und kontrollierte Vermögen Birkenfeld,birkenfeld,1
Staatsanwaltschaft L.G. Lübeck,lübeck,1
Regierung Frankfurt (O.M.),frankfurt,1
Regierung Amtsberg (Welf.),amtsberg,1
"United-Restitution-Office, Frankfurt/M. Grüneburgweg 119",frankfurt,1
Kreisverwaltung -Amt f. Wiedergutmachung- Höxter /Weser,höxter,1
Kreissozialhilfsausschub der Stadt Waiblingen,waiblingen,1
Regierung Ansbach (Weff),ansbach,1
"Lindau, Deutschenstraße 4",lindau,1
Kreisonderrhilfsausschub Watenstedt-Salzgitter,salzgitter,1
Regierungsbezirkamt für Wiedergutmachung und kontrollierte Vermögen Altenkirchen Westerwald,altenkirchen,1
Regierung-Fürstenberg (Welf.),fürstenberg,1
Träger Koblentz,koblentz,1
"Regionalverwaltungsamt für Wiedergutmachung und verwaltete Vermögen, Nürnberg a. d. Weinstr.",nürnberg,1
Amt für Wiedergutmachung-Herford,herford,1
Regierung Fürstenberg (Welf.),fürstenberg,1
Kreissozialhilfsausschuss d. Landkreises Blankenburg (Brit. Zone),blankenburg,1
Staatsamt W.L.G. Frankfurt/Main,frankfurt,1
Waisensiedlung-Salzgitter,salzgitter,1
Regierungsbezirk Salzburg,salzburg,1
Regierung Ansbach (Deff.),ansbach,1
Regierung Frankfurt (W2ff.),frankfurt,1
Augsburg (Wf.),augsburg,1
Regierung Bamberg (MfV),bamberg,1
Regierungsamt Arnswald (Wehr.),wehr,1
Kreissonderhilfsschübe Uelzen,uelzen,1
Der Regierungspräsid. Düren,düren,1
"United Restitution Office, Frankfurt/Main, Grüneburgweg119",frankfurt,1
"Regionalverwaltungsbehörde für Wiedergutmachung und Vermögensverwaltung, Nürnberg d. Weinstr.",nürnberg,1
Landesentschädigungsamt in der Bayerischen Landesentschädigungs- und Staats-schuldenverwaltung,staats,1
Augsburg (Welf.),augsburg,1
Regierung Brünn (Mf.),brünn,1
Regierungsamt Rosenberg (Wuppertal),"rosenberg, wuppertal",2
Der Regionalpräsident - Dez. für Wiedergutmachung - in Dortmund,dortmund,1
"United Restitution Office, Frankfurt, Gruneburgweg 119",frankfurt,1
"Wiedergutmachung für verfolgtes Vermögen und verwaltete Vermögen, Nürnberg a. d. Weinstr.",nürnberg,1
KSHA Hamm-P.,hamm,1
Ra. Dr. May Legal Aid Department Frankfurt a M. Friedrich,frankfurt,1
Kreissozialamt Harburg,harburg,1
Altenkirchen Westw.,altenkirchen,1
Kreissonderhilfsschübe Watenstedt-Salzgitter,salzgitter,1
Kreis Nordheim,nordheim,1
Kreissozialamt Landkreis Grafschaft Hoya,"grafschaft, hoya",2
Ellrich,ellrich,1
"Amt für Wiedergutmachung, Stadt Bocholt",bocholt,1
"Regierungsbezirksamt für Wiedergutmachung und verwaltete Vermögen, Nürnberg a. d. Weser",nürnberg,1
Regierung Amberg (Weltf.),amberg,1
Kreissoenderhilfsausschuss des Landkreises Grafschaft Sehauenburg,grafschaft,1
Birkenfeld,birkenfeld,1
Regierung Ansbach (m.w.P.),ansbach,1
Amt für Wiedergutmachung der Stadt Lübeck,lübeck,1
Amt für Wiedergutmachung der Stadt Lübeck in Lübeck,lübeck,1
Regierung Brügge (Mfl.),brügge,1
Regierungsamt Fürstenberg,fürstenberg,1
Regierung Ansbach (Wef.),ansbach,1
Bundes Finanzministerium Bonn,bonn,1
Wüstenstedt-Salzgitter,salzgitter,1
Kreisverwaltung Springe,springe,1
Altenkirchen Westerwald,altenkirchen,1
Regierung Ansbach (Meff.),ansbach,1
Landeszentralbank Reutlingen,reutlingen,1
Kreisonderrhilfsausschub der Stadt Waisensiedlung Salzgitter,salzgitter,1
Regierungsbezirkskammer für Wiedergutmachung und verwaltete Vermögensnachlässe Nürnberg a. D. Weißbach,"nürnberg, weißbach",2
Kreisonderhilfsausschuss Bremervörde,bremervörde,1
KSHA Würzburg,würzburg,1
KSHB Burgdorf,burgdorf,1
Nienburg - Weser,nienburg,1
Suhl,suhl,1
